FIPStxt,State,Area name,Population 2020
1000,AL,Alabama,5024279
2000,AK,Alaska,733391
4000,AZ,Arizona,7151502
5000,AR,Arkansas,3011524
6000,CA,California,39538223
8000,CO,Colorado,5773714
9000,CT,Connecticut,3605944
10000,DE,Delaware,989948
11000,DC,District of Columbia,689545
12000,FL,Florida,21538187
13000,GA,Georgia,10711908
15000,HI,Hawaii,1455271
16000,ID,Idaho,1839106
17000,IL,Illinois,12812508
18000,IN,Indiana,6785528
19000,IA,Iowa,3190369
20000,KS,Kansas,2937880
21000,KY,Kentucky,4505836
22000,LA,Louisiana,4657757
23000,ME,Maine,1362359
24000,MD,Maryland,6177224
25000,MA,Massachusetts,7029917
26000,MI,Michigan,10077331
27000,MN,Minnesota,5706494
28000,MS,Mississippi,2961279
29000,MO,Missouri,6154913
30000,MT,Montana,1084225
31000,NE,Nebraska,1961504
32000,NV,Nevada,3104614
33000,NH,New Hampshire,1377529
34000,NJ,New Jersey,9288994
35000,NM,New Mexico,2117522
36000,NY,New York,20201249
37000,NC,North Carolina,10439388
38000,ND,North Dakota,779094
39000,OH,Ohio,11799448
40000,OK,Oklahoma,3959353
41000,OR,Oregon,4237256
42000,PA,Pennsylvania,13002700
44000,RI,Rhode Island,1097379
45000,SC,South Carolina,5118425
46000,SD,South Dakota,886667
47000,TN,Tennessee,6910840
48000,TX,Texas,29145505
49000,UT,Utah,3271616
50000,VT,Vermont,643077
51000,VA,Virginia,8631393
51560,VA, Clifton Forge city,
53000,WA,Washington,7705281
54000,WV,West Virginia,1793716
55000,WI,Wisconsin,5893718
56000,WY,Wyoming,576851
72000,PR,Puerto Rico,3285874
